Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	stimulation
CXCL10	222.88882559275	-1.24540327058943	0.824446622450469	-1.51059296827218	0.130892186620981	0.601354924718589	IFN_lambda2
CXCL10	222.88882559275	4.45135484962239	0.615847049731148	7.22802009292024	4.90086230888805e-13	1.25952161338423e-10	IFN_y
CXCL10	222.88882559275	-0.50639362001085	0.727100335977499	-0.696456314148259	0.486143106604262	0.896884462243473	IL_10
CXCL10	222.88882559275	-2.6731367554576	0.996537913616439	-2.68242353746159	0.0073090858238981	0.0957969527246973	IL_13
CXCL10	222.88882559275	-0.632108330584385	0.724781264896903	-0.872136686196351	0.383133814520751	0.766060652280822	IL_4
CXorf21	9.94295052410171	2.31679038561417	0.508459609547216	4.55648854326359	5.20158748964037e-06	0.000113159883827552	IFN_B1a
CXorf21	9.94295052410171	-0.443419176021854	0.629628927886049	-0.704254770362306	0.481274127886008	NA	IFN_lambda2
CXorf21	9.94295052410171	0.355055825463385	0.537561658653612	0.660493209937377	0.508937374431142	NA	IFN_y
CXorf21	9.94295052410171	0.529355526581844	0.539557675217672	0.981091643943879	0.326547550725373	0.827114514268467	IL_10
CXorf21	9.94295052410171	-0.0437685439444147	0.576268024661186	-0.0759517135627092	0.939457514167301	NA	IL_13
CXorf21	9.94295052410171	0.598688960658982	0.529798752412016	1.13003089934306	0.258463204617059	NA	IL_4
DDX58	66.7827884540667	5.68178032998637	0.339548237026029	16.7333524678287	7.49010782392217e-63	5.31797655498474e-60	IFN_B1a
DDX58	66.7827884540667	-0.431039839368768	0.473811454632757	-0.909728617056883	0.362965648329616	NA	IFN_lambda2
DDX58	66.7827884540667	0.567278134798941	0.389334903108197	1.45704412902661	0.145104199311658	0.644895430173843	IFN_y
DDX58	66.7827884540667	-0.322167848232821	0.437680333821352	-0.736080247014984	0.461681863110684	0.88939043361404	IL_10
DDX58	66.7827884540667	-1.14942445577504	0.522034188459876	-2.2018183505684	0.0276781423069302	0.204895136799914	IL_13
DDX58	66.7827884540667	-1.34173389953132	0.513636433955789	-2.61222493349606	0.008995504754975	0.112470423356581	IL_4
DDX60	15.1257342043428	4.41666194112122	0.530810411526881	8.32060156547542	8.75179810478889e-17	6.21377665440011e-15	IFN_B1a
DDX60	15.1257342043428	0.407146916292487	0.633454270330435	0.64274081865468	0.520392290079086	NA	IFN_lambda2
DDX60	15.1257342043428	1.53484709408179	0.558417169294363	2.74856716175342	0.0059856370775817	0.124581340723892	IFN_y
