Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	stimulation
PSMB9	13.463287702711	-0.032604590371267	0.748355040203148	-0.0435683447290154	0.965248484973437	0.989845550613687	IL_4
PTGIR	36.8800459549668	0.819500302655112	0.358474730201303	2.28607551275627	0.022249841271177	0.208876571097763	IFN_B1a
PTGIR	36.8800459549668	0.538246230429848	0.363294765567006	1.48156891165164	0.138455036160166	NA	IFN_lambda2
PTGIR	36.8800459549668	0.409482374345999	0.349812922493356	1.17057532188159	0.241769521652161	0.79338257763377	IFN_y
PTGIR	36.8800459549668	0.408933256193726	0.358574690346728	1.1404409379767	0.254102645663449	0.668343489355949	IL_10
PTGIR	36.8800459549668	2.12166768559065	0.336603200080931	6.30317146444397	2.91615971307313e-10	3.87666981856659e-08	IL_13
PTGIR	36.8800459549668	2.11081432580257	0.337083244574013	6.26199717660276	3.80077822990179e-10	3.78557511698218e-08	IL_4
PTPN2	11.5912639553005	-0.340048612059122	0.55218004430153	-0.615829231006094	0.538007232817671	0.883204284823447	IFN_B1a
PTPN2	11.5912639553005	-0.817728372515649	0.576607673679436	-1.41817115838501	0.156140800177019	NA	IFN_lambda2
PTPN2	11.5912639553005	-0.448793601405416	0.521468527544424	-0.860634108675298	0.389439593975505	0.877922314404652	IFN_y
PTPN2	11.5912639553005	2.09479082418317	0.476890321186079	4.39260503122226	1.12000491582466e-05	0.000335315757451994	IL_10
PTPN2	11.5912639553005	-0.676305093087547	0.56571445315747	-1.19548844706517	0.231896247359867	0.602413125744609	IL_13
PTPN2	11.5912639553005	-0.687908956494614	0.573226330514809	-1.20006517473964	0.230114029382083	0.656089888231114	IL_4
PVRL2	11.0855016638571	1.22479453185447	0.628266522504615	1.94948240592506	0.0512378419175094	0.344386593988683	IFN_B1a
PVRL2	11.0855016638571	-0.28386326144745	0.705063634366001	-0.402606584159886	0.687237665227682	NA	IFN_lambda2
PVRL2	11.0855016638571	0.863075162362092	0.614589064403391	1.40431259251239	0.160225786103081	0.692604488078523	IFN_y
PVRL2	11.0855016638571	2.65585971394874	0.592010119496882	4.4861728313121	7.25139270822687e-06	0.000230006337361488	IL_10
PVRL2	11.0855016638571	0.269790582058207	0.666117164827646	0.405019711701941	0.68546302172973	0.900265419709253	IL_13
PVRL2	11.0855016638571	0.619639730994698	0.651120039645947	0.951652066079295	0.341273466693823	0.752842464733216	IL_4
RABGAP1L	8.98007864648271	4.19509909765156	0.807240280581007	5.19684064158959	2.02703986000908e-07	9.83030570126715e-06	IFN_B1a
RABGAP1L	8.98007864648271	0.0279185686769361	0.948531002409511	0.0294334804091968	0.976518870859948	NA	IFN_lambda2
RABGAP1L	8.98007864648271	0.46942920897238	0.867484350057889	0.541138533439887	0.588412100266408	0.947786851394661	IFN_y
RABGAP1L	8.98007864648271	-0.474798754365119	0.968079280659097	-0.490454412000081	0.623812381468143	0.893445426305466	IL_10
RABGAP1L	8.98007864648271	-0.996715471521694	1.07565609990107	-0.926611648103293	0.35412820495025	0.721919551413884	IL_13
RABGAP1L	8.98007864648271	0.0753453551896318	0.948861456895071	0.0794060657033978	0.936709644144774	NA	IL_4
RNF213	63.0811265154261	2.39119031516985	0.288428796086681	8.29040077694335	1.12867514142967e-16	1.37980536039777e-14	IFN_B1a
RNF213	63.0811265154261	-0.0311496665323949	0.313797369588416	-0.0992668184989936	0.920926423261873	NA	IFN_lambda2
RNF213	63.0811265154261	1.05177986296058	0.291081691357862	3.61334942797038	0.000302266916380522	0.00900028955747926	IFN_y
RNF213	63.0811265154261	-0.537038169173637	0.317723403833464	-1.69026946927437	0.0909764132457674	0.413196279354616	IL_10
RNF213	63.0811265154261	-0.188932786204076	0.316758329891789	-0.596457198990219	0.550869838720319	0.830993012027035	IL_13
RNF213	63.0811265154261	-0.265608774002017	0.319821559815151	-0.830490521513097	0.406261504665618	0.791493671008258	IL_4
RSAD2	367.457776426405	4.10859955464478	0.349492319920239	11.7559079855673	6.58490592016264e-32	2.41501424621965e-29	IFN_B1a
RSAD2	367.457776426405	0.263198826537715	0.357300496253366	0.73663157285703	0.461346429307919	0.761523800342329	IFN_lambda2
RSAD2	367.457776426405	1.3174281320303	0.351306891000121	3.75007768358819	0.000176779796584655	0.00574062026466505	IFN_y
RSAD2	367.457776426405	-0.883597153494368	0.363158708420664	-2.43308815954609	0.0149706553495994	0.127131411854485	IL_10
RSAD2	367.457776426405	-0.242641519615221	0.36060371529971	-0.672875817193269	0.501026298254105	0.807265870509064	IL_13
RSAD2	367.457776426405	-0.541844276065886	0.363209969048973	-1.49182104633485	0.135746065011249	0.529375794589741	IL_4
RTCB	23.1884174067767	2.00848554308436	0.359787175484204	5.5824267231908	2.3718555304159e-08	1.25387822094419e-06	IFN_B1a
RTCB	23.1884174067767	-0.259869568303608	0.404218258622843	-0.642894185900889	0.520292762296869	NA	IFN_lambda2
RTCB	23.1884174067767	-0.232108125337043	0.381418902746137	-0.608538600645937	0.542830312685278	0.93082901410309	IFN_y
RTCB	23.1884174067767	-0.702997134614361	0.409198918694765	-1.71798385209993	0.08579956069316	0.398993757798741	IL_10
RTCB	23.1884174067767	-0.355504574977248	0.406849300564476	-0.873799154832044	0.382227640800892	0.742125232298948	IL_13
RTCB	23.1884174067767	-0.539094797625273	0.417513319313824	-1.29120383155983	0.196633006850949	0.620749524004898	IL_4
RTP4	23.952329337409	4.88849141537131	0.848446872896622	5.76169418679317	8.32737808644244e-09	4.60991081238153e-07	IFN_B1a
RTP4	23.952329337409	-0.046882570191498	0.935637853385587	-0.0501076030879409	0.960036640963032	NA	IFN_lambda2
RTP4	23.952329337409	2.03109330710727	0.858932188018591	2.36467247989932	0.0180460221120506	0.229843646900189	IFN_y
RTP4	23.952329337409	-2.8560417187981	1.23812469238329	-2.3067480491811	0.0210688699151676	0.165504857646859	IL_10
RTP4	23.952329337409	-1.14162623041162	1.01784889134069	-1.12160679264276	0.262029662245401	0.635610055706502	IL_13
RTP4	23.952329337409	0.387648597486404	0.914453456421475	0.423912879069195	0.671629351170098	0.913544327436556	IL_4
SAMD9	42.1065892231991	2.85778849084784	0.339110147058535	8.4273163620626	3.53682706427042e-17	4.51176113329105e-15	IFN_B1a
SAMD9	42.1065892231991	0.171763000680426	0.369946379022641	0.464291612028223	0.642438832771163	NA	IFN_lambda2
SAMD9	42.1065892231991	0.294560153547669	0.353559095234905	0.833128485499608	0.404772269859135	0.884311783623408	IFN_y
SAMD9	42.1065892231991	-1.52952623350156	0.420026702727723	-3.64149760852957	0.000271056643840475	0.00526675624521824	IL_10
SAMD9	42.1065892231991	-0.268087952554608	0.381043674882589	-0.703562269173513	0.481705415415687	0.799455835777585	IL_13
