id	Macs_IFN_B1a_Macs_IFN_y	Macs_IL_10	Macs_IL_4_Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a_DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a_Monos_IFN_y	Monos_IL_10	Monos_IL_4_Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a_PMNs_IFN_y	PMNs_IL_4_PMNs_IL_13	P.value	Correlation	RMSE
TCGA-14-1823	0.324513051657043	0.0619706709142617	0	0	0.352701706427384	0	0	0	0.162379094386432	0.0374373316641641	0	0.0609981449507154	0.01	0.428036453168189	1.01767954999927
TCGA-14-1825	0	0	0	0.599066995313659	0.0108392991483213	0.0112532947172097	0	0.0302601726825708	0.0520043646113032	0	0.296575873526936	0	0.94	-0.0775645933048471	1.19881403630946
TCGA-14-1829	0	0.189282282266449	0	0	0.661538759553028	0	0	0	0.034002221888257	0.101609063707365	0	0.0135676725849005	0.19	0.111498006914339	1.16783152151326
TCGA-14-2554	0.0104837544408068	0.139500427815302	0	0	0.553123542751458	0	0	0.0258306798876509	0.0900380498533113	0.181023545251471	0	0	0.25	0.0851959132701208	1.14215626101962
TCGA-15-0742	0	0.105405661123779	0	0.250385881487411	0.410676911730021	0	0	0	0.233531545658789	0	0	0	0.81	-0.0447812272256122	1.17776860225295
TCGA-15-1444	0	0.192984922766964	0	0.691043803289906	0	0	0	0	0.0195074969186502	0.0526752099358935	0	0.0437885670885867	0.69	-0.0309792320156029	1.26487626248066
TCGA-16-0846	0	0.197000521567127	0	0.23105347302452	0.447842370259812	0	0	0.0603230509252074	0	0.0637805842233348	0	0	0.66	-0.0178630590542881	1.26492234429637
TCGA-16-1045	0	0.293149394081317	0	0.369051330888898	0.00640497425867727	0	0	0	0.172012841025459	0	0.159381459745649	0	0.34	0.0418088479755421	1.2398253288604
TCGA-19-0957	0	0.111460339642893	0.129770581977085	0.468931328511661	0.0920792369162574	0	0	0	0.0731153517013856	0	0.074480776812297	0.0501623844384206	0.66	-0.0181755401413155	1.19851460026502
TCGA-19-1389	0	0.0607439706187835	0.643411892244156	0.0785743631945481	0.136491175659524	0	0	0	0.0762201721665717	0	0.00455842611641607	0	0.07	0.280311518535694	1.0697456687891
TCGA-19-1390	0.00307703160369161	0	0	0	0.829333930709153	0	0	0	0.167589037687155	0	0	0	0.89	-0.0673511736438722	1.1635391038157
TCGA-19-1787	0	0.085226715272951	0	0.0809231416081575	0.461307558586908	0	0	0.04336645431029	0.0958524472232898	0.233323682998404	0	0	0.66	-0.0227884585513767	1.1653794290247
