GeneSymbol	GSM1356732	GSM1356733	GSM1356734	GSM1356735	GSM1356736	GSM1356737	GSM1356738	GSM1356739	GSM1356740	GSM1356741	GSM1356742	GSM1356743	GSM1356744	GSM1356745	GSM1356746	GSM1356747	GSM1356748	GSM1356749	GSM1356750	GSM1356751	GSM1356752	GSM1356753	GSM1356754	GSM1356755	GSM1356756	GSM1356757	GSM1356758	GSM1356759	GSM1356760	GSM1356761	GSM1356762	GSM1356763	GSM1356764	GSM1356765	GSM1356766	GSM1356767	GSM1356768	GSM1356769	GSM1356770	GSM1356771	GSM1356772	GSM1356773	GSM1356774	GSM1356775	GSM1356776	GSM1356777	GSM1356778	GSM1356779	GSM1356780	GSM1356781	GSM1356782	GSM1356783	GSM1356784	GSM1356785	GSM1356786	GSM1356787	GSM1356788	GSM1356789	GSM1356790	GSM1356791	GSM1356792	GSM1356793	GSM1356794	GSM1356795	GSM1356796	GSM1356797	GSM1356798	GSM1356799	GSM1356800	GSM1356801	GSM1356802
ACP5	-0.21438503	-0.79906416	-0.21780205	0.13695192	1.3651094	-0.045898914	0.3786888	0.18295288	-0.2992711	-0.33084917	-0.51564646	0.3306265	-0.058635235	0.34221458	0.021186829	0.65625286	-1.8142619	-1.0071487	0.7859316	-0.44280243	-0.43765402	-0.065823555	-0.7489095	-0.32478142	-0.43684053	1.9984093	1.4368982	-0.14291334	0.3778906	0.002390862	0.9140768	0.027737617	-0.001270294	1.083149	0.8752594	-0.2989874	0.28220177	-0.8127003	0.7427244	-1.3387461	0.9475355	1.5679121	0.15077543	0.025293827	0.36160707	1.5302458	-0.48325205	-0.67975473	0.25533295	-0.22977638	-0.30756664	-0.29719687	0	-0.101830006	0.18089867	-0.18075848	0.15347338	-0.13478184	-0.59819746	1.2076359	-0.00966835	0.25099325	0.13223124	0.85859585	0.11452961	-0.15162706	-0.010667801	-0.27213955	0.3053007	0.047443867	-0.07692337
ACPP	1.3275442	-0.52411747	-1.5856137	0.42271376	0.1426549	0.21779776	0.5556321	-0.21102095	0.19430685	0.18699026	1.1308379	-0.17780733	0.27921677	0.12663126	-4.7225275	0.005198002	-4.324357	-2.765171	0.35759115	-0.4376731	0.21010637	-0.7245703	-0.045647144	0.10221529	0.28731012	1.5337605	1.5665879	1.122395	0.13955832	0.09137297	-2.7505975	-2.1639638	-0.6470833	0.41471815	0.42093992	-0.36417532	-1.0942345	-0.6106615	1.6338115	-2.8539605	0.7725396	1.439611	-0.23619556	0.5258422	0.37784338	-0.26673746	-0.59508085	-1.0705643	0.8121309	-0.2816553	0.22143793	-0.4230132	-0.82655287	-0.8259816	-0.768538	0.9203415	-0.50110865	-0.3108759	-0.19005299	-0.1890192	-1.9074936	-0.93312216	0.8878169	1.4549031	0.47261	1.2105064	-0.120731354	0	-1.2115312	-0.5178704	0.7053323
ACSM3	-0.00333077666666666	0.47865263	1.14193042	0.0797340083333333	-1.45184277666667	-0.312006943333333	-0.809563653333333	-0.856894186666667	-0.724280494	0.612423113333333	0.273367882666667	0.150951386666667	-0.66388941	-0.230264823333333	-1.30920815666667	0.602436236666667	1.65404956666667	0.538078553333333	-0.806453383333333	0.832223266666667	0.0741114533333333	-0.50501886	-0.668173158	-0.257955877333333	-0.19277829	-1.4807642	-0.541701947666667	0.135292373333333	0.318367796666667	-0.364638178	-1.1951766	-0.13007752	0.6243159	-0.680285446666667	-0.372230375666667	0.0458037083333333	0.27212206	0.15988636	-0.676595293333333	0.06338477	-0.0352287233333334	0.13506476	-0.212190796666667	-0.0305132866666667	0.146179518666667	-1.31594486666667	-0.71948591	0.441912496666667	0.681534446666667	0.664122263333333	-0.92051348	0.700010135333333	0.562025393333333	-0.161328793333333	0.121950785666667	-0.301226933333333	-0.402208646666667	-0.484896966666667	0.578764276666667	-1.04749123	-1.23910761	1.0731519	0.362942218	-0.015547672	-0.362775486666667	0.3185606	-0.0291643153333333	-0.88857095	-0.469258796666667	0.344600683333333	-1.29489626666667
ADAM19	-0.0611201233333333	-0.851269236666667	-0.194496792666667	-0.6947066	-0.12986914	-0.0335989133333333	-0.770869906666667	-0.092922052	-1.41576891333333	0.144586646666667	0.589208136666667	-0.223401714	-0.808424943333333	-1.23199557333333	0.4062252	-0.0821162866666667	-0.0146328533333333	0.0589424666666667	-1.008206205	0.213267666666667	-1.21330087333333	0.210241314	-0.0731937666666667	-0.44572465	-1.73246349333333	0.229944391666667	0.691930286666667	0.210828783333333	0.764043013333333	-0.844487663333333	-0.803908976666667	-0.51028301	-1.46644448	-0.5225307	-0.861069346666667	0.181611058666667	0.303385573333333	0.505850626666667	0.993554256666667	-1.3720363	-1.12326303333333	-1.19539773	0.00291236666666667	0.180262564333333	0.55266286	-0.833692696666667	1.0314088	-0.73362937	-0.41703925	-0.409170316666667	-1.90091642333333	0.62774642	-0.617931346333333	1.12707918666667	0.591810873333333	0.902626447666667	0.2828997	-0.592706346666667	-0.793029666666667	0.550450003333333	1.16677093	0.214609781666667	-1.0941308	-0.45675021	0.835301867	-1.13702185333333	0.180521956666667	-0.704527206666667	0.51280419	0.364456806	0.11402265
ADAM28	-1.3587491	0.602539226666667	0.631147066666667	0.0292256666666667	-1.53878543333333	-0.15825828	-1.21894504	1.07029502333333	-0.0606759366666667	0.453495176	0.38387075	-0.90233595	0.463956833333333	0.180393851333333	-0.353403883333333	-1.5646553	1.68593563333333	1.2582283	-1.13332733333333	1.61848653333333	0.723085886666667	-0.731596476666667	-1.28924579	-0.258665403333333	0.85382478	-3.89415023333333	-2.32780583333333	0.563359256666667	0.589794786666667	-0.962831016666667	0.414602596666667	-0.165423243333333	0.714230353333333	-0.0805409753333333	-0.0348299333333333	0.205810073333333	0.362156706666667	0.0193746843333333	-1.85000886666667	0.663756056666667	-0.390575256666667	-0.959098193333333	-0.305793276666667	-0.47883049	-0.33036772	-2.18292346666667	0.043560188	-0.186892853333333	-1.00890114666667	0.03321918	-0.625342683333333	0.399761033333333	0.910692533333333	1.3162074	1.33042954333333	1.30826646666667	0.228970051666667	-0.51918936	-0.21916866	-0.101804416666667	-0.1950868	-0.854083366666667	-1.16276596666667	-0.588517673333333	-0.321881931333333	0.61946964	0.742249176666667	-1.11302946	0.525900676666667	1.21655163333333	-0.16983699
ADAMDEC1	3.3188524	2.238253	-1.4920783	1.3229427	-0.5061517	-0.20242786	0.7649703	-0.9604745	-0.74838066	0.3350644	0.28767347	0.54190445	0	0.5219159	-4.0948534	-0.37854576	-2.0121846	-1.3391309	-0.004392624	-1.6018133	0.005719185	-2.4550653	-4.097995	-0.2878418	0.3756256	-1.30966	-2.2003303	1.9560237	0.54935074	0.3161478	-1.9673877	-2.262115	1.906004	0.2586503	0.75301266	-0.3245039	-0.01832962	-2.304915	2.7297497	-1.661983	0.6381445	0.027413368	0.18949747	0.40249062	-0.17805576	-5.8490043	-1.6870546	-1.5168066	1.0471559	-0.29995108	0.82577944	2.8707294	-0.228971	0.12881517	-0.86582565	4.1314735	-0.097387314	-1.9301677	0.51025105	0.21005964	-4.2570996	-1.0980816	0.34987545	1.1893249	0.73818064	2.4464297	0.33803034	2.6126719	-0.559309	-1.2675009	3.7387967
ADAMTS3	0.51833725	-0.76187086	-1.1319461	2.6860375	-1.6393514	-0.50292253	-0.14715052	-0.9916024	2.336038	0.14391708	-0.23971987	3.435761	0.20259094	-0.2376914	0.96571827	-0.67200327	0.87846184	0.91408587	-0.99910307	0.45875835	-0.24477625	-0.9054551	0.58406544	-0.45223665	-0.106060505	-0.8219781	2.4393983	-0.22085333	-0.22802114	-1.298532	-0.8977704	-0.3874097	1.1684513	2.0442147	-0.9612031	-0.56771326	-0.36714888	0.1003046	0.70073843	0.43511438	-0.63935137	-0.3247962	0.07614231	-0.13685083	-0.20069742	2.1750417	1.1871037	0.12422609	0.15120602	-0.4948802	-0.12263727	0.33213234	0.6784706	0.22129631	0.065463066	0.4391632	-0.34424448	0.14855099	0.10158777	-0.15898466	0.80347204	-0.3376336	-0.48679304	0.6176286	-0.4717765	0	-0.17125368	0.022909641	0.4744625	0.26950884	1.4711423
ADAMTS5	0.04387474	-1.2363334	-1.6064086	-0.69531584	-2.1138139	0.22424889	-0.621613	-1.4660649	1.6312776	2.8393798	-0.7141824	-1.3606296	-0.27187157	-0.7121539	0.49125576	2.6084218	0.40399933	0.43962336	-0.21053123	-0.015704155	-0.71923876	3.5124736	0.10960293	-0.92669916	-0.580523	1.0254874	3.453683	2.2681584	1.8824792	3.1290789	0.006278515	-0.8618722	5.503795	-0.7521758	-1.4356656	0.76517916	-0.8416114	-0.3741579	1.6047873	-0.039348125	-1.1138139	-0.7992587	-0.3983202	2.0667586	-0.67515993	-1.2628951	1.1400628	-0.35023642	2.8305488	-0.9693427	-0.5970998	0.34309673	2.6190457	-0.2531662	-0.40899944	3.357018	2.1261516	-0.32591152	3.2593932	3.4021769	3.8525715	3.005527	2.6237073	3.1787896	2.891704	-0.4744625	0.20228052	-0.45155287	0	-0.20495367	0.9966798
ADI1	0.19418001	0.2715497	-0.3458724	0.21511078	-0.48815203	-0.9266157	-0.34712887	0.634212	0.50828695	0.355999	0.07100296	0.36487913	0.6141019	0.27650976	-0.2352519	0.56812143	-1.8567758	-2.1927829	-0.13508081	-0.523509	-0.20001364	0.04865122	-0.33155298	-0.17887878	0.38314533	1.0205445	1.0136123	0.33387232	0.3977933	0.4840331	-0.8305888	-0.50641346	-0.06375551	0.43019056	0.009294987	0.17413759	0.5504079	1.0100718	-1.0316286	-2.238244	0.06696558	0.24919271	-0.983181	-0.37500858	-0.6512704	-0.95605516	-0.8560581	-1.1583891	-0.21461296	-0.37193918	-0.030137062	-0.009420395	-0.47276306	-0.18856907	0.28423595	-0.36223125	-0.15620852	-0.35978508	0.40183353	0.5281606	-0.15511703	0.1844039	0.88624334	1.1558056	0.6452069	0.48118925	0.18535948	0	-0.44932032	-0.9274974	0.2380662
ADRB2	0.22977829	0.41879416	0.39346075	-0.17992163	0.53184175	0.46330786	-0.26116133	0.09052229	-1.2089734	-0.5250149	-0.46021223	0.31911898	-0.9738817	-0.010829449	0.18994236	-0.010145664	-0.93036604	-0.23604918	0.8254037	-0.57550526	0.30565977	0.56382704	0.4885044	0.8173909	0.18270922	-1.2049184	-1.2306905	0.31516314	-1.3632588	0.44791842	0.28178835	0.08958006	-0.12344217	-0.3626027	0.09566164	0.62565184	0.26615858	-0.7534561	0.10792017	1.0218158	-0.5004468	-0.6554036	0.82385635	0.11434889	1.0145869	0.3224511	-0.15490961	-0.35566664	0	0.16649008	-0.44695616	0.09105301	-0.31853914	-0.40356636	-0.28221512	-0.1706171	0.44856596	-0.13859558	0.6045213	0.3290429	-0.22606134	0.6488786	0.88849306	-0.73767424	0.08312845	-0.26543427	-0.36967897	-0.34602213	-0.11864662	-0.3787303	-0.20917463
AGPAT5	-0.8771372	0.16846228	0.57820654	0.13361883	0.3063941	-0.30146122	-0.21958733	0.30994463	-0.7047715	0.08032417	-0.14778662	0.436193	-0.80162334	-0.1666894	0.12152386	0.12508059	1.0257215	0.9830785	0.41277742	0.8981199	0.28136158	-0.96245	-0.8394232	0.2508073	-0.20197439	0.16425753	-0.548666	-0.07645321	-0.11545706	-0.062185764	0.005187988	-0.4345646	1.8808122	-1.0535035	0.22318983	0.077839375	0.818172	-0.3416891	-1.0201359	0.9029684	0.35643435	-0.6996107	-0.14694309	-0.9981866	0.2770362	-0.9619107	-0.5868821	-0.5171828	-0.63364077	0.5564103	0.1763401	0.89228535	0.4384637	0.18174934	-0.08091593	-0.19568014	1.0520949	-0.27493763	0.09948778	-0.24255371	-1.0521274	0.6255269	0	-0.7341242	0.13552141	0.6428542	0.01545763	-0.07865095	-0.19016314	-0.9388795	-0.24279594
AIM2	-0.23568106	-0.12641335	-0.6199522	0.3916669	1.2839565	0.31203604	1.6393995	-0.54036283	-0.605803	-0.14526033	-0.35801268	-0.7198448	-4.1483626	-2.70112	-0.6627693	0.9405174	-1.2708578	-3.4368677	0.90355444	0.03380418	-0.52534056	-1.6241407	0.4268837	0.8115196	-1.0646963	2.4845657	1.1922407	0.24069118	-4.5789747	0.90663767	0.4123416	0.3277259	-0.22609138	-0.019857407	0.048909664	0.07228804	-0.5888195	0.7448354	-3.6502151	-0.9158392	0.1512909	-0.45078325	0.4032607	-1.8555365	0.42562914	1.121768	0.19733763	-2.2632532	0.8620286	0.580431	0.7043271	0.74671364	0.36093998	-0.56894207	0.07908201	-2.0637932	0.85015297	0.89773417	-0.016705036	1.6275654	0.3689952	-0.46362066	-0.04593277	-0.26083708	0	-0.6728816	-0.9133978	1.1923785	-2.950492	-0.29484844	0.86434984
ALAS1	-0.5245958	-0.247646733333333	-1.92285003333333	-0.246172183333333	0.613376698666667	0.1925234	0.287015673333333	-0.506820136666667	0.198697316666667	0.373560973333333	-0.306316603333333	-0.04344425	0.2180411	-0.302782776666667	1.7421197	0.171291266666667	0.0888559813333333	0.41910473	0.0276197666666666	-0.191057996666667	0.356564743333333	0.700517916666667	0.290441436333333	-0.49220284	-0.291749713333333	0.0373318333333333	-0.804641133333333	-1.23036027333333	0.0515138933333333	-0.276825333333333	-0.51785396	0.7926619	-0.916074513333333	0.367565863333333	-0.175059386666667	0.529626753333333	-0.08003148	-0.574767733333333	0.461126383333333	-0.296953285333333	-0.480173656666667	-0.028321978	0.0638312566666666	0.265831076666667	0.0842131713333334	1.49111912	0.3004215	2.096507	0.763977126666667	-1.17927513333333	-0.525101733333333	-0.141189966666667	1.41451592666667	0.917805923333333	-0.0228572666666667	0.411703023333333	1.04896174333333	1.10224765	-0.835388723333333	0.640201033333333	0.631159533333333	-0.506905966666667	-2.0783964	-0.78075202	-1.8845131	-1.00667991333333	-0.929125533333333	0.08762359	0.560057954333333	-1.332781725	0.9462906
ALOX15	0.41928435	-0.704876185	0.91448858	-0.443410875	1.7672262	-0.6240875835	0.17839955	0.29466939	-0.36640048	-0.2711339	1.24745895	1.3290677	-0.32155025	-0.74725912	0.82607435	1.36396859	0.496392498	0.35475016	-0.9078540745	0.04791355	-0.86875345	-0.0824783	1.36408785	1.36644363	0.52544327	-0.128368377	-0.24912023	0.898888565	1.329356885	-1.25862075	0.0331676	-0.2360134	-0.800309655	0.38304735	-0.5454378	-0.42795205	0.233448025	-0.76977539	1.4755919	0.2122337925	-0.657627585	-0.384131885	-1.594389665	-1.88338425	1.2142339	-0.7837159435	-0.150998115	1.59367702	-0.7349045	-0.13712025	-0.07735775	-2.13088085	0.7449043	0.991678475	0.5106218	0.493962065	-0.92981385	0.131733425	-0.102787495	-0.54915905	-1.65954115	-0.49506095	0.4898016	2.22464675	0.48405599	-1.00956797	-0.98787595	1.31987192	0.08020115	0.2505019	2.2781738
ALOX5	-0.4381845	-0.97493265	-1.27637527	-0.5436730405	0.57713439	-0.8528967	0.131747245	-0.393596174	-0.22519921	0.1735017325	0.4217967975	0.121150968	-1.712604547	0.713816642	-0.7172254	-0.757604835	-0.1764188	-0.93995835	0.77791525	-1.231576225	-0.1971921935	-0.164106126	-0.684346425	-0.02093649	-0.67179917	1.1751349	-1.1265285	-1.30530165	0.10898161	-1.01239252	-0.077748535	-0.53801775	0.4673602585	0.3077108855	0.3646805275	-0.637487435	0.1867594675	0.27552115	0.959507	-0.32976125	-2.22292335	-1.5755291	-1.76941491	0.11661577	-1.730879825	0.578738685	-0.2915372725	-0.560335625	0.76090739	-0.383905885	0.1070203805	0.54280187	0.4316804385	-0.22603345	-1.5379958	0.4186599265	1.097633125	-0.5291753	-0.14331675	0.87034155	0.47434224	-0.14643073	-0.71985005	0.8921497	-0.056847815	-0.481477262	0.18589448	-0.0241337	-0.63609862	-0.95086025	1.2313515
ALPL	1.5412798	1.569427	-0.784801	2.2821393	1.711124	-0.34185553	0.2983985	0.99483347	1.2948604	-1.1146584	-0.07314682	-1.5883493	-1.5121913	-1.8881235	0	1.4956002	-0.80626297	-1.0606966	-3.1752167	-2.8109288	-0.83825254	-1.2832022	2.190199	-0.3517313	1.9195352	-0.3078742	0.45716667	1.1055336	1.008287	-1.5134964	3.4989028	-0.73737335	-1.9260483	-0.27079678	1.4525743	-0.5762267	0.2530985	1.7659798	3.7856984	-0.45434666	1.1687675	2.393146	1.482666	-1.2515635	0.021137714	1.825027	-0.10741329	0.230474	1.7125807	1.0170627	-0.19944715	2.2973976	-0.65650225	0.086405754	-1.0762167	0.5539813	-1.5881357	0.032166958	-0.55855894	-2.8191314	-0.64827585	-1.6526451	0.83589983	-0.84683037	-1.5308051	1.2185254	1.1746788	4.9854083	-0.3562188	-0.14682102	4.045263
