GeneSymbol	GSM1008060	GSM1008061	GSM1008062	GSM1008063	GSM1008064	GSM1008065	GSM1008066	GSM1008067	GSM1008068	GSM1008069	GSM1008070	GSM1008071	GSM1008072	GSM1008073	GSM1008074	GSM1008075	GSM1008076	GSM1008077	GSM1008078	GSM1008079	GSM1008080	GSM1008081	GSM1008082	GSM1008083	GSM1008084	GSM1008085	GSM1008086
SFTPD	113.99553	107.43156	99.58957	72.11246	74.17441	112.56558	85.11727	76.74467	95.72747	99.17595	106.48756	98.81902	75.32474	105.16159	92.66722	100.0872	102.89324	108.08051	93.09687	115.1269	94.56154	73.7007	79.53068	88.71083	93.40762	93.27029	101.06058
SFXN3	219.0395	210.20727	242.17488	182.44717	146.11493	144.56235	177.84752	141.65962	225.87935	193.89352	252.59178	195.51918	194.61974	137.97275	174.36299	162.45375	179.28604	152.37679	212.98828	167.75594	206.93813	137.26388	163.62889	154.16369	179.58775	156.81442	107.60481
SH2D1A	50.08233	71.90482	119.47816	201.77358	146.6367	77.62212	128.61378	109.98314	57.57215	66.50595	52.25655	61.51439	186.25988	74.65863	82.58322	76.8129	59.83674	105.55352	71.89702	35.59237	69.15629	237.17894	71.55686	51.9721	66.64657	106.82894	57.8361
SH2D1B	90.72685	224.00981	441.36331	241.14402	326.51182	95.71254	338.07717	318.96878	116.85955	137.00304	422.33728	135.94523	366.24093	78.43502	107.05127	104.67885	205.18344	211.7447	312.27533	127.23494	231.98236	397.01261	257.3667	77.57713	102.17473	191.40686	74.6275
SH3BP2	848.04381	755.99563	826.19439	610.85264	594.58558	532.51869	848.56587	723.52539	725.18115	947.24397	857.58157	815.54928	727.54991	482.52366	637.90077	598.426	678.95766	598.34068	814.14749	869.33082	840.15678	578.44259	568.52056	721.5344	613.54214	536.9425	858.62963
SIDT1	258.91093	551.65126	576.0756	346.74202	506.25204	375.01074	419.8643	405.71267	345.64128	427.01239	434.76346	375.78378	327.31786	233.04106	338.17552	351.54214	410.41994	384.95462	523.15646	284.86555	377.69054	646.32569	362.79877	247.43895	263.39802	222.39404	254.42866
SIGLEC1	173.0551	228.46278	190.97245	159.57032	156.1415	183.75961	161.08453	872.92282	162.61044	177.09731	193.43633	196.3437	150.79542	158.83016	177.76003	180.85199	149.81236	167.1148	177.34117	202.31153	219.55855	132.65028	373.44834	201.19031	146.06274	207.27714	164.74941
SIGLEC6	68.53312	114.9763	151.73896	97.87375	118.51579	75.03628	100.64295	82.65331	73.18406	88.16032	99.25597	97.47116	97.60592	73.62269	71.04507	91.76847	98.68546	77.28805	156.37964	91.9505	93.24666	65.83245	84.06703	78.17953	63.44785	88.16646	64.39842
SIK1	170.83307	181.7535	194.04757	167.09969	164.27498	159.23768	162.6868	156.51616	149.48821	166.6508	176.67553	182.01041	152.5133	157.74508	160.60192	151.2301	170.9787	157.37444	179.48145	187.40004	165.21168	168.94011	175.63694	146.94598	151.16489	163.22586	139.74277
SIRPG	459.16099	781.80835	742.13702	414.14331	594.37959	558.70677	510.53966	332.85784	425.29085	776.35254	504.95964	612.88377	413.44234	583.95528	549.97781	503.99071	516.4697	362.60557	734.81088	276.45519	618.96421	658.64251	567.68132	407.72106	550.19348	422.78624	359.28635
SIT1	354.94319	378.38844	536.52231	429.45761	392.21088	253.36474	287.61016	202.6869	381.08736	518.92784	298.14669	370.89195	403.60299	372.46264	297.52416	286.06361	336.26392	329.90234	465.01883	157.8816	335.14819	443.65644	322.18028	210.44687	276.15932	334.46676	192.65567
SKA1	15.8394	19.66963	23.27877	22.30339	20.40012	16.38235	20.26628	12.94294	15.89582	31.55245	17.64632	19.11808	18.3207	15.41586	17.19229	18.9894	14.74287	14.16661	26.71197	17.64975	26.04496	26.7307	19.49929	20.84045	17.37974	18.36519	17.20226
SKAP1	155.05358	372.3896	507.79472	253.83706	365.99911	204.65296	299.87548	191.35535	229.32788	265.54501	246.44953	216.06437	268.32182	192.04837	286.00664	189.54878	237.85833	207.67806	265.96661	122.03655	221.01073	468.94028	244.93004	149.5711	183.29944	190.52094	142.20563
SLA	949.96153	1052.57028	1121.66199	915.40487	1027.56002	763.75238	1366.71176	1384.77002	969.18076	1150.3813	1040.75704	1105.03989	1107.05045	849.88726	1145.70181	859.30533	757.28883	939.58051	1256.38999	1007.53315	1535.88038	828.36273	1133.97862	1475.84705	819.21666	1110.95657	1713.92321
SLAMF1	132.44294	206.72222	241.82612	161.6006	228.48856	154.97121	187.86987	139.08849	155.60533	233.11133	140.67002	172.30599	120.16323	118.82899	139.52206	141.07507	181.90461	152.16071	195.58968	98.89614	174.25399	253.38518	139.70092	101.69858	109.87583	86.75284	92.2629
SLAMF8	84.7367	117.09729	156.32287	108.73425	101.08332	62.38073	122.98187	75.94153	87.29481	196.9852	115.26001	113.43346	178.84531	50.9763	95.16027	68.99318	101.39462	98.41434	123.14743	132.32492	131.85722	92.26416	101.90097	120.59371	56.94659	57.14751	193.81246
SLC12A1	22.52577	18.94427	20.09652	18.3474	17.31458	19.4429	18.41055	17.03222	24.49835	18.48793	22.51125	19.86656	21.97645	18.2476	38.39149	25.64596	18.51374	19.0197	22.7135	25.27969	19.27735	18.35675	19.05636	32.09036	19.97751	20.95649	49.0688
SLC12A3	165.74415	164.78452	147.46697	126.78729	120.02393	132.94232	119.79935	137.8272	134.13477	141.18375	158.29173	159.04241	120.67068	157.01339	150.4836	142.12788	147.97484	137.13873	151.58044	175.21095	159.81692	112.1269	142.10689	138.26515	128.39629	151.6842	147.5184
SLC12A8	72.65257	75.3282	69.12523	61.20495	62.94252	60.4028	65.37145	79.2478	65.19625	78.99427	70.69948	78.61507	53.44215	66.93625	65.30424	73.43188	66.48951	64.63045	67.96675	88.29366	70.02003	61.59582	71.49219	64.37282	68.46309	62.89924	69.59851
SLC15A3	422.10992	357.13347	453.23753	173.02256	264.98336	224.1139	415.71071	406.56542	292.28115	401.53652	339.87198	490.57606	304.08011	256.66651	329.57974	294.88156	294.03317	260.3594	509.44323	430.13778	558.8466	191.4928	324.44406	428.97479	314.74626	311.4815	386.69546
SLC16A10	227.26038	308.63126	370.62306	245.24511	186.6319	238.44945	166.93984	166.79985	219.56724	238.79813	174.72639	239.11557	145.97704	230.45119	193.69563	227.33367	194.53535	198.48947	188.33142	132.70963	177.87612	333.62503	201.92959	161.92178	187.91643	139.32266	171.75283
SLC17A5	133.38463	180.24801	210.88316	222.65204	227.29632	140.86926	220.71592	235.72478	163.25298	190.95722	166.90962	145.54707	170.38272	119.22871	180.68495	144.96408	119.21586	208.49186	197.9855	129.32845	193.51483	202.18614	157.54926	190.11895	196.0397	150.97174	184.36004
SLC1A3	38.30732	49.65726	42.61281	38.51357	50.18431	38.79474	37.8635	48.62164	40.38292	45.42994	45.97099	57.28706	43.3308	45.05835	40.71053	43.12764	40.58166	32.86832	62.44085	57.43604	53.38768	42.34711	40.86049	50.57479	39.22209	41.44998	70.41184
SLC1A4	105.83082	152.03976	137.87546	114.24319	111.13871	88.03721	133.38523	97.10045	103.52557	140.82807	126.85906	135.70708	110.03798	83.75255	104.5243	109.78681	115.33703	103.24821	156.05527	137.8349	124.18894	153.24238	127.04777	108.11773	115.33455	75.9613	98.38354
SLC26A6	136.03966	156.73499	159.59709	109.81773	128.22262	105.43088	115.76647	123.80951	125.82493	137.698	173.79519	156.54197	127.39035	99.82748	93.53238	123.00702	124.02409	104.68804	185.66339	154.19211	136.36235	113.08941	117.26372	143.30754	106.62649	102.64943	108.99092
SLC38A1	1046.21032	1445.75506	1863.97449	1719.84268	1822.31987	1169.40905	1150.3151	996.42023	1017.80159	1261.96593	1249.879	1135.20602	1397.21562	1114.82258	1202.87848	1050.59814	927.637	1261.50545	1469.79348	808.74328	1151.03509	2179.75631	1265.03639	854.90313	1061.73946	1207.15653	742.83425
SLC4A1AP	97.65238	132.0785	119.57904	78.84259	107.33069	86.91203	142.25156	113.58371	86.51774	147.73055	111.47069	102.81486	88.32786	68.25149	89.50579	104.66954	95.09037	88.40778	106.01961	99.86525	97.4762	117.58833	87.05893	108.39468	107.81276	64.85797	91.50118
SLC4A7	160.82179	241.25717	334.18319	303.82015	264.00663	223.21546	233.3138	166.41673	187.83953	201.95457	165.67678	168.87731	233.01145	149.7814	171.22525	143.9879	162.20207	190.62847	210.6776	132.68331	176.24795	368.42422	134.88107	115.44726	151.70443	142.32065	118.94755
SLC5A3	472.01992	555.75983	699.52447	693.57574	1008.76473	551.64544	527.17429	591.79821	561.96138	612.93353	823.00719	454.46727	676.48929	398.15538	620.54585	514.56937	372.89722	566.95439	689.31068	238.36141	466.9425	963.95881	589.24714	381.09776	524.89621	473.61617	574.47098
SLC6A13	87.27131	86.31045	76.99747	62.40497	74.65109	73.49108	68.33109	67.514	77.38481	75.79524	85.00043	94.20821	63.87579	77.64606	75.70487	77.48871	72.94597	77.2287	87.43025	98.27794	83.65172	61.79728	73.25146	84.18927	62.21413	80.59641	91.31309
SLC7A10	94.8253	79.00972	77.48243	74.51564	68.48691	85.58842	76.2963	74.56454	77.26561	81.63264	94.14535	89.77735	75.4929	100.86367	91.64707	87.74444	85.752	75.61177	73.99944	102.27114	91.68718	71.76251	75.43407	76.17336	74.6973	98.35156	93.42996
SLC7A7	440.06518	406.06345	717.51446	365.7108	537.76989	397.55128	589.37166	861.0823	532.89788	434.22798	513.44014	613.18521	735.50934	409.31537	605.578	522.15717	331.04307	427.4593	544.61249	536.30168	467.83444	324.39253	762.78751	638.93051	519.47925	423.42142	599.66948
SLC9A3R1	1555.26692	1675.16559	1643.46182	1148.14627	948.34646	981.411	1410.46036	900.99839	1385.81374	1674.90744	1935.21238	1671.30601	1277.81541	1100.34912	1158.02109	1178.70065	1468.08631	1113.42116	1582.36857	1374.57973	1617.8171	924.1065	1256.51829	790.88228	1285.09095	1126.00073	728.4296
SLCO2B1	82.45253	78.11755	69.38946	57.29022	60.54869	67.52901	57.71963	50.88676	66.17776	66.27959	80.85041	74.76965	57.44703	76.36475	69.25358	72.72243	61.8004	69.21945	70.07075	91.85484	70.36841	59.0462	62.91878	72.52198	68.91536	70.89742	70.16901
SLCO5A1	79.76591	76.49679	74.24546	69.96245	61.92362	71.27403	58.49967	71.24389	71.38814	74.99922	81.45609	82.36513	64.84106	80.04739	76.56979	76.57472	74.82337	67.9981	73.98984	94.7858	74.87362	65.02582	74.85613	66.2818	65.2782	72.53217	69.4687
SLFN11	150.38201	216.63403	311.76779	254.15166	425.13586	231.09827	278.55193	342.07125	243.00235	281.40424	198.885	234.80007	295.12133	185.21205	346.06328	225.83635	183.72217	298.58708	256.42992	175.69405	254.71486	379.44472	348.95804	272.19512	283.8763	198.11048	310.07148
SMARCD3	147.80685	108.10282	155.3268	119.40543	129.45535	112.83122	132.52452	142.44673	105.99671	226.51501	131.57358	181.61872	142.14289	95.01643	106.53092	112.59082	125.65533	100.26232	238.30958	211.8068	207.20079	88.56105	96.15147	314.08425	96.05408	97.21634	426.21714
SMPD3	979.52275	301.68756	255.58029	753.03972	52.72678	455.7278	348.76544	131.74919	991.30712	367.64673	1214.7503	189.22389	534.71544	372.01946	334.61483	384.94034	293.29212	416.73275	173.88564	705.8218	417.43061	148.22042	282.40777	110.28137	753.53302	648.82598	37.20015
SMPDL3B	172.43518	170.91334	149.48121	120.68346	114.91708	118.74046	79.66136	111.38132	152.61364	198.503	191.37208	174.43613	47.14632	132.29287	93.50341	104.46416	139.23863	125.71686	135.07329	195.30115	168.06082	115.27175	113.1285	92.53582	48.56024	107.67597	146.83612
SOCS1	190.46341	135.59226	151.98385	267.75407	102.88534	111.51434	103.90233	333.75571	229.89641	299.72563	196.69343	108.83133	205.2252	111.26676	130.39287	139.72254	109.02175	104.14031	127.86621	177.05431	106.15854	123.38581	162.9069	142.46615	129.55688	160.28003	220.0201
SOCS2	113.00755	88.51074	112.82333	116.37738	86.51926	58.6921	84.10465	92.3587	100.98348	80.74972	96.58045	79.74042	102.78279	100.54833	87.00741	98.96086	60.80803	88.47874	100.98886	78.37564	92.18598	90.31996	91.11146	81.1452	108.18776	134.31425	78.76652
SP140	156.76181	291.80466	307.57069	270.90732	454.36783	303.34017	509.07094	879.76712	277.93832	445.37097	284.97906	264.09325	223.16815	198.35731	305.78352	251.37224	260.17795	303.12777	292.02433	300.86011	324.92653	564.25546	375.45522	315.705	239.1998	184.8882	561.40867
SPAG4	107.15337	102.74772	105.89276	91.22348	88.02028	99.29799	85.97395	84.76776	90.19071	82.74326	99.65993	96.0148	97.04822	123.47628	89.23431	109.98336	102.64415	96.93052	88.73256	99.48802	89.63786	75.53532	79.10871	93.52264	84.88779	112.16215	107.67849
SPATA13	244.20073	354.49442	390.0632	274.76186	378.99761	342.23243	489.33113	613.38735	259.29817	367.11474	302.43313	327.05978	343.29091	297.67397	453.50377	312.85171	304.74602	278.07478	405.67188	249.79905	426.60946	409.67528	408.23174	371.15996	306.4491	283.66911	427.92149
