GeneSymbol	GSM2712676	GSM2712677	GSM2712678	GSM2712679	GSM2712680	GSM2712681	GSM2712682	GSM2712683	GSM2712684	GSM2712685	GSM2712686	GSM2712687	GSM2712688	GSM2712689	GSM2712690	GSM2712691	GSM2712692	GSM2712693	GSM2712694	GSM2712695	GSM2712696	GSM2712697	GSM2712698	GSM2712699	GSM2712700	GSM2712701	GSM2712702	GSM2712703	GSM2712704	GSM2712705	GSM2712706	GSM2712707	GSM2712708	GSM2712709	GSM2712710	GSM2712711	GSM2712712	GSM2712713	GSM2712714	GSM2712715	GSM2712716	GSM2712717	GSM2712718	GSM2712719
ST8SIA1	56.9559354916698	80.9624868188159	73.3128010034845	59.1286624013449	134.395697676988	67.6026129864897	44.7747364317747	34.4269617582126	76.9741208297522	54.8978493885119	42.6456417617804	61.980881461063	60.2897090519448	108.850859687139	74.1100793837328	42.7123234605512	71.7716378713915	154.891927033772	87.0333958064724	81.2470950250864	60.9811754833333	30.0385871330819	41.3810459558017	69.7823598269737	91.9745110966991	65.0859341393264	27.2683429487663	28.3053913730179	150.622439309649	87.39232269428	126.40427492688	104.586266392846	154.477558322947	166.800192771085	120.32592274744	115.481717462419	113.910504153972	152.370968217836	122.876982549112	116.463596525759	99.6428996032328	136.206875207511	136.67180157048	158.808161551492
STAB2	10.4285515688973	6.22788360144737	11.8885623248894	7.13621787602439	8.63972342209211	4.13893548896876	4.76326983316752	17.2134808791063	5.92108621767324	12.7669417182586	16.1759330820546	6.59371079373011	7.5362136314931	17.9283768896464	10.1059199159636	17.9841361939163	5.12654556224225	3.17727029812866	9.76905463133874	8.55232579211436	10.6475068304233	14.3040891109914	19.9242073120526	10.2621117392608	11.867678851187	10.8476556898877	39.6630442891146	9.99013813165338	6.65734538385188	20.2382220976227	9.39491232564646	11.6206962658717	5.46132781949814	7.06780477843581	12.621600288193	5.2491689755645	0.819500029884689	11.3922219228289	9.76505821582343	11.6463596525759	6.64285997354885	18.7590307172021	22.313763521711	15.8808161551492
STAP1	85.0328051002394	116.550393112801	367.554718544496	91.7513726917421	215.993085552303	132.445935647	623.988348144945	78.6901983044859	178.619434233143	167.246936509188	105.878834718903	205.723776764379	129.371667340632	344.480955951063	138.114238851502	165.229251281606	428.920978707602	498.037119231667	216.695393640605	206.324859734759	284.578818922222	304.677098064116	98.0884052285669	95.0955687838171	43.762065763752	229.156726448878	34.7051637529753	131.536818733436	371.147005149742	283.335109366718	138.361436068611	391.783474106533	157.598317076946	160.439168470493	428.292969779351	176.372077578967	167.997506126361	348.174782516458	110.670659779332	192.164934267502	303.91084378986	116.632234459126	131.093360690052	347.934244853724
STEAP4	4233.9919369723	9437.91274916482	15101.4462931907	16210.4286352377	12209.8491339544	11565.5654013417	9538.92416790127	15977.7988588562	11354.6696700914	20896.9302044457	14268.6435177433	16783.6314543606	7006.16660607809	6851.20116854344	10599.4256718598	10239.7175454111	4108.92626813717	3414.77125291377	6052.37339205214	7604.08666991368	14076.971984986	11334.5602115496	15476.5111874698	5608.58613589735	10967.2187183532	7639.46151960344	3549.84246387576	4389.00068583972	5855.96743327071	7716.2821343118	13744.7567324208	9156.27860777365	5466.78914731764	6461.38712844602	9124.57556834435	10105.7001117568	7850.81028629532	6539.84739757395	8179.86376545476	5973.75061893911	7218.29771875752	10565.4123439407	8657.74024642385	3550.80612123542
STOM	4380.79385521139	5344.4138276992	3855.85704737245	5281.82068795462	4911.2027808248	7054.12571836576	3868.72775849866	9211.67133901888	5372.39889483552	6567.31481987222	6046.85789394624	7759.47886206159	7646.744764755	3885.33539165622	4766.62556036281	6538.3575150007	2960.5800621949	4163.01840812307	4371.2078995863	4884.44706802131	7814.30205836428	3979.3975906778	5989.52324426937	6601.9585522578	3882.21444419454	2705.13413766576	5116.53271329578	3559.81922091249	3259.60273356848	3385.30260542053	2696.33983746053	3379.13246416884	4156.07047063808	4354.4745239943	4448.69338157844	4693.80689794978	5518.51320124349	3859.11517635828	4326.7345444611	4029.64043979126	3031.63522042836	4073.1564957264	4041.5804178699	3522.65376532401
STON2	263.120378046024	169.932252553778	128.792758519635	200.833560225258	176.634345518328	306.281226183688	152.424634661361	254.513610141072	141.119221521212	181.290572399272	313.224886043422	123.961762922126	315.264936917462	240.752489660966	309.914877422883	276.506093981463	145.252124263531	127.885129499678	190.940613248894	391.268904989232	257.476074262963	102.989441599138	265.911536049318	331.808279569434	134.994846932252	98.9848581702256	126.425953671553	128.206772689552	119.000048736352	193.183029113672	211.812568796393	156.879399589268	161.499265519445	123.686583622627	70.680961613881	339.096315821467	211.43100771025	146.674857256422	296.206765879977	161.385269471409	78.053604689199	211.242998076319	147.828683331335	99.6160286095726
STXBP5-AS1	42.5164025501197	52.4921617836279	44.5821087183351	58.10920270477	45.1185556487032	31.7318387487605	62.8751617978112	27.049755667167	42.4344512266582	40.8542134984275	55.8804961016433	34.2872961273966	55.2655666309494	35.8567537792928	57.2668795237935	39.3402979241919	34.1769704149484	37.3329260030117	39.076218525355	65.211484164872	27.1027446592592	47.2034940662715	60.5389376020061	29.4180536525477	40.0534161227561	28.4750961859553	64.4524469698112	33.3004604388446	27.461549708389	38.6366058227343	38.433732241281	33.2019893310621	24.9660700319915	38.1661458035534	27.7675206340247	53.5415235507579	29.5020010758488	37.7367351193707	33.3639489040634	33.275313293074	35.7053723578251	26.9151310290291	41.838306603208	34.6490534294165
STXBP6	1.60439254906112	0	0.990713527074114	1.01945969657491	1.91993853824269	0	0	0	0.98684770294554	1.27669417182586	2.94107874219175	1.31874215874602	1.25603560524885	1.28059834926046	0	3.37202553635931	0.854424260373709	3.17727029812866	3.552383502305	3.20712217204288	0	0	1.53263133169636	1.36828156523478	3.70864964099593	4.0678708837079	0	0	1.66433634596297	2.75975755876674	1.70816587739027	0.830049733276552	3.12075875399894	2.82712191137433	0.841440019212869	10.498337951129	3.27800011953875	2.13604161053041	2.44126455395586	3.3275313293074	1.66071499338721	0	0.929740146737956	0
SUCNR1	15.2417292160806	38.2569992660339	59.4428116244469	37.7200087732718	29.7590473427617	49.6672258676251	57.1592379980102	43.0337021977657	49.342385147277	34.4707426392982	70.585889812602	51.4309441910948	37.6810681574655	20.4895735881673	13.4745598879514	29.224221315114	14.5252124263531	6.35454059625731	16.8738216359487	54.521076924729	30.9745653248677	0	52.1094652776762	28.7339128699303	11.1259489229878	5.42382784494387	0	1.66502302194223	11.6503544217408	18.3983837251116	6.83266350956106	29.8817903979559	13.2632247044955	20.4966338574639	23.5603205379603	16.7973407218064	8.19500029884689	19.2243744947737	9.76505821582343	11.6463596525759	7.47321747024246	17.9434206860194	15.8055824945453	18.7682372742673
SYN2	13.6373366670195	14.235162517594	26.7492652310011	42.8173072561463	34.5588936883684	17.9353871188646	11.431847599602	50.4109082888113	17.7632586530197	31.9173542956465	32.3518661641093	59.343397143571	12.5603560524885	30.7343603822509	25.2647997899089	22.4801702423954	18.7973337282216	4.76590544719298	11.5452463824912	12.8284886881715	53.2375341521164	174.509887154095	28.3536796363826	6.1572670435565	34.8613066253618	44.7465797207869	91.7207899185775	34.9654834607868	14.9790271136667	7.35935349004463	16.2275758352075	5.81034813293586	9.36227626199681	4.94746334490507	14.3044803266188	8.39867036090321	11.4730004183856	10.6802080526521	16.2750970263724	7.48694549094165	19.0982224239529	5.7092702182789	15.8055824945453	5.05298695845658
