gene	Buffer_scaled	IFN_B1a_scaled	IFN_lambda2_scaled	IFN_y_scaled	IL_10_scaled	IL_13_scaled	IL_4_scaled	cellType	cluster
EIF2AK2	-0.422487100593975	2.26380892280279	-0.3925788207217	-0.258648871446482	-0.441912512120763	-0.358568138041472	-0.389613479878403	DCs	1
TOR1B	-0.290711184059187	2.26369017934671	-0.361565289642044	-0.425578532673395	-0.471864962658602	-0.326868999387145	-0.387101210926337	DCs	1
MLKL	-0.398695094185366	2.26426636378438	-0.426201251422995	-0.262189425959803	-0.401827820208014	-0.358541387428442	-0.416811384579759	DCs	1
PPM1K	-0.405921059671686	2.26494539145223	-0.359044671274917	-0.279153757610031	-0.437237050377776	-0.402485253576435	-0.381103598941382	DCs	1
CNP	-0.21091436504114	2.2570508352323	-0.359660164030731	-0.418880123605342	-0.497268496142513	-0.306289459622188	-0.464038226790382	DCs	1
CXCL10	-0.406715228389084	2.26123138574812	-0.412306808262922	-0.207090594904567	-0.408383254979554	-0.415518178611841	-0.411217320600153	DCs	1
IFI44L	-0.381522769952404	2.26761512758334	-0.378529337911079	-0.355120000443542	-0.371064481606595	-0.389622565224247	-0.391755972445477	DCs	1
DDX58	-0.363969731804717	2.26726713654599	-0.381560971698059	-0.338674975095897	-0.383536073130967	-0.396942044115758	-0.402583340700594	DCs	1
SPSB1	-0.463866495014743	2.26110363751971	-0.487445621338081	-0.273214425867538	-0.330798354947008	-0.380270861477398	-0.325507878874942	DCs	1
IFIT2	-0.3767433419498	2.26736046507261	-0.378958288577808	-0.336846657760509	-0.392929622857472	-0.38992446593299	-0.391958087994029	DCs	1
IFIT3	-0.392244120727741	2.26244211029629	-0.395982362383612	-0.225310780994449	-0.413624605865891	-0.418480788135004	-0.416799452189594	DCs	1
PHACTR4	-0.462998036585134	2.25774921854835	-0.420650207757878	-0.219915202086534	-0.382944047780397	-0.482674838018822	-0.288566886319585	DCs	1
OAS3	-0.383917247002457	2.26615661168693	-0.37157853968939	-0.297911031208188	-0.409587626730435	-0.405002181477386	-0.398159985579075	DCs	1
RSAD2	-0.379206495305996	2.26765165829238	-0.379550162026571	-0.354222265761048	-0.386090770084042	-0.385142514235695	-0.383439450879025	DCs	1
C19orf66	-0.430497776050879	2.26110461545441	-0.389274038329286	-0.218519002356179	-0.373354548079433	-0.38861436774937	-0.460844882889267	DCs	1
PNPT1	-0.389608581876716	2.26308878538542	-0.246965560055399	-0.415551209613092	-0.456145223890806	-0.374600509919922	-0.380217700029486	DCs	1
APOBEC3A	-0.381495749407389	2.26756274318009	-0.383256298125076	-0.346772479021528	-0.385785595345439	-0.383054983108773	-0.387197638171889	DCs	1
