gene	Buffer_scaled	IFN_B1a_scaled	IFN_lambda2_scaled	IFN_y_scaled	IL_10_scaled	IL_13_scaled	IL_4_scaled	cellType	cluster
GADD45B	-0.65993074883061	1.57492532914593	-1.08150189959442	0.53074572975375	0.896889832309299	-0.759270438662715	-0.50185780412124	Macs	2
LOC731424	-0.542597173940595	1.91574768872497	-0.368938397658516	0.255523454845584	0.509588705906133	-0.952324807386732	-0.816999470490839	Macs	2
MEFV	-0.608296968354349	2.10113746369609	-0.252414650648484	0.245943065158737	-0.0208458879624629	-0.64143354454634	-0.824089477343191	Macs	2
MLKL	-0.777895885949657	2.10012551751231	-0.449310417078041	0.295596312898421	-0.00768501567477976	-0.683543749249291	-0.477286762458965	Macs	2
NOD2	-1.16377094142369	1.89951063769984	-0.212195235874374	0.528037855072296	0.1011997549877	-0.715945858234601	-0.436836212227177	Macs	2
HIVEP2	-0.723098611517789	2.12112518925419	-0.28635991978652	-0.146192313687544	0.289889651438222	-0.591788109586673	-0.663575886113884	Macs	2
IER2	-0.652396666512336	2.20322616187487	-0.440614730863251	-0.266351081860402	-0.041363899417333	-0.144954255594981	-0.657545527626569	Macs	2
IFI16	-0.644643995889271	2.18296893820625	-0.613184843809368	0.038630666648805	-0.033837472814762	-0.401485099095531	-0.528448193246125	Macs	2
STARD4	-0.39602121526986	2.21726680751157	-0.633391070789138	-0.0874964964005299	-0.11071354512144	-0.405101482824286	-0.584542997106321	Macs	2
ARL6IP6	-0.522274560034836	2.16934105427179	-0.674931750885578	-0.00885380860170802	-0.137126124686549	-0.0925247909848098	-0.733630019078305	Macs	2
TMEM62	-0.317268392466607	2.19546702641287	-0.561350175572126	-0.0410192074193492	-0.0478642779650063	-0.66978898940149	-0.558175983588288	Macs	2
LMNB1	-0.630502786174108	2.10782879737861	-0.786712817018933	0.284655498667142	-0.0871235763989923	-0.274386382184194	-0.613758734269528	Macs	2
IFIT3	-0.415113075605084	2.26271738679801	-0.38064227963054	-0.230264676860171	-0.418891626068143	-0.406966862193586	-0.410838866440488	Macs	2
C19orf66	-0.395334671418225	2.25210314721103	-0.363352648150121	-0.127026546106431	-0.429575707697664	-0.457546380496629	-0.479267193341957	Macs	2
TDRD7	-0.479274696346957	2.25367528878206	-0.36901476246428	-0.140302360990407	-0.398472291270423	-0.40986228296235	-0.456748894747638	Macs	2
OAS1	-0.421118365216651	2.26168564083874	-0.316360805447802	-0.240151197992945	-0.43521095854498	-0.423059338770626	-0.425784974865734	Macs	2
MDK	-0.441841837569989	2.25991739364423	-0.411632575852946	-0.221984691768567	-0.326382724855461	-0.474634185651658	-0.383441377945612	Macs	2
SELL	-0.390543928808412	2.25677060677886	-0.488487936109583	-0.185007964669345	-0.335204709493804	-0.400693640581343	-0.456832427116369	Macs	2
IL27	-0.421629821647027	2.25949590793095	-0.400933252777089	-0.186401725237659	-0.407271464975122	-0.421629821647027	-0.421629821647027	Macs	2
TNFSF13B	-0.412136910554224	2.25958395094768	-0.392885109166194	-0.188402715996937	-0.432804762131049	-0.418851945544389	-0.41450250755489	Macs	2
APOBEC3G	-0.512719605570041	2.25626537003461	-0.320630619837908	-0.190113623156227	-0.434066094323617	-0.403579983055693	-0.395155444091126	Macs	2
CXCL10	-0.421637716695	2.2572184056354	-0.414130928939926	-0.160665131675889	-0.417896410090148	-0.420634635682506	-0.422253582551933	Macs	2
LGALS9	-0.376126679516572	2.25893669801175	-0.334760965026348	-0.206705727718747	-0.439904757115728	-0.474484930854469	-0.426953637779888	Macs	2
TRIM14	-0.458349126607377	2.2612322852918	-0.308991549593834	-0.245799485447989	-0.406970686929158	-0.393323889830444	-0.447797546883	Macs	2
C9orf91	-0.37149990881359	2.24631960659326	-0.351654862656385	-0.100747285090045	-0.421466676697731	-0.457817495313832	-0.543133378021677	Macs	2
TRIM22	-0.51242657394545	2.25848242289364	-0.384111870971299	-0.210339815209489	-0.408367809940761	-0.340578055325835	-0.402658297500801	Macs	2
KIAA0226	-0.489204995669119	2.25371131189393	-0.383003756797099	-0.138327827114763	-0.4169638471787	-0.42837413877107	-0.397836746363175	Macs	2
NCF1C	-0.474756459242131	2.24271576699448	-0.384273178866002	-0.0664569879576957	-0.536619074464816	-0.397848793111578	-0.382761273352255	Macs	2
FAM8A1	-0.369043997822471	2.2516056384111	-0.360559195292777	-0.152327290720754	-0.55829116638206	-0.403344087607099	-0.408039900585944	Macs	2
IFIH1	-0.369021311899333	2.26164283292972	-0.34071053089036	-0.236510845170658	-0.436957869215346	-0.436841380153172	-0.441600895600847	Macs	2
DDX60L	-0.467517936563447	2.26093265975958	-0.358862076757125	-0.21855730880128	-0.414500773769018	-0.395573296606022	-0.40592126726269	Macs	2
IRF7	-0.415902821599813	2.25195672161249	-0.405512906380889	-0.133682582980564	-0.35479558326525	-0.427540463714651	-0.514522363671326	Macs	2
CCL7	-0.478219739829934	2.25052457420249	-0.31056829910265	-0.131319861215925	-0.436643662729296	-0.410316976662416	-0.483456034662269	Macs	2
SAMD9L	-0.450427218785993	2.24960032242823	-0.391837429392873	-0.0959509941656438	-0.447633071098309	-0.420435564119414	-0.443316044865993	Macs	2
CBR1	-0.55163057337582	2.25610595844557	-0.387268700489158	-0.210593922583768	-0.414807610779179	-0.345563024644466	-0.346242126573179	Macs	2
NEURL3	-0.396051655285061	2.24548364636477	-0.42105580156553	-0.0778755914055089	-0.521635504262226	-0.382957054233235	-0.445908039613207	Macs	2
NCOA7	-0.503488365816362	2.25125529668865	-0.320158508909595	-0.134427016313771	-0.419681697602667	-0.428283337751958	-0.445216370294295	Macs	2
BST2	-0.481658794343096	2.2517440034869	-0.331354564585359	-0.19265495100462	-0.471971463183382	-0.267959232995644	-0.506144997374797	Macs	2
BLNK	-0.414093621676944	2.23632839967879	-0.412304130493257	-0.252849089748328	-0.512435445952996	-0.0742706299277377	-0.570375481879528	Macs	2
KIAA1958	-0.421346030935522	2.19158947541374	-0.535740159782892	-0.0342819152336945	-0.531137324430975	0.00106692990798064	-0.670150974938636	Macs	2
FGD2	-0.447399576582238	2.23716748584995	-0.521733500821166	-0.108626884919906	-0.590385227295117	-0.299705056610896	-0.269317239620631	Macs	2
BCL2L13	-0.514043055175642	2.2353303448036	-0.452535167520305	-0.148778101963691	-0.508767534293303	-0.123252074248636	-0.487954411602025	Macs	2
ADCY7	-1.32381792864971	1.99224451776035	0.0905278003041712	-0.110376569254087	-0.323560200391147	-0.386763323455534	0.0617457036859544	Macs	2
MTHFD2L	-1.43378390544467	1.76524528237967	0.552359572866819	0.216054195871304	-0.243233727431543	-0.269713669004021	-0.586927749237566	Macs	2
TMEM14B	-1.2709713339161	1.92060663572687	0.199023763110069	0.302569650114655	-0.646230058543516	-0.351539869485281	-0.153458787006695	Macs	2
TMEM255A	-1.6257930925108	1.7414318704605	0.211355809332788	0.102794809946613	0.228003321828477	-0.310970618113937	-0.346822100943643	Macs	2
LOC648987	-1.3823861774764	1.85907528933191	-0.0316774624257665	0.401070934851837	0.0676636476525539	-0.613304748171767	-0.300441483762364	Macs	2
FMNL2	-1.09850075214817	2.03059506944385	0.0763435652928783	-0.0477305696377975	0.0458126331560715	-0.226462921110579	-0.780057024996259	Macs	2
ZC3H7B	-0.838786482671412	2.17901938811572	-0.636720928750334	-0.224549566055117	-0.130774046653465	-0.0881980985727712	-0.259990265412618	Macs	2
UBA7	-0.720887303154767	2.22067252194346	-0.352062494278153	-0.213657829078301	-0.0918827782439266	-0.511256391283559	-0.330925725904757	Macs	2
LOC100505549	-0.769907574719649	2.17360779723433	-0.415335555296933	-0.470191223094674	0.116281395315745	-0.124483774062632	-0.509971065376182	Macs	2
LSM2	-1.03229610535012	2.14318762070832	-0.206453683803067	-0.159770717580375	-0.147767053627594	-0.489475976592624	-0.107424083754537	Macs	2
IRF2	-0.784656913708137	2.20285234529679	-0.351604952809422	-0.0902289912240636	-0.123887174793652	-0.323078298652621	-0.529396014108896	Macs	2
LILRA5	-0.789469904368914	2.16481012667533	-0.247635559243393	-0.300271390450063	0.142207539415049	-0.640582196857301	-0.329058615170709	Macs	2
NT5C2	-0.980529805028956	2.17019472845262	-0.323628993707463	-0.151182546671474	-0.173722625006615	-0.381546131795192	-0.15958462624292	Macs	2
PLSCR1	-0.399727703943532	2.22145993923434	-0.434344544973995	-0.375494980969174	0.0358299134114453	-0.410864172522717	-0.636858450236363	Macs	2
RAB24	-0.603976827354224	2.22935848506742	-0.382474338534005	-0.11856306219722	-0.179352486062899	-0.586856892610337	-0.358134878308736	Macs	2
PARP10	-0.42312443714229	2.25404607729488	-0.256106818273273	-0.226368151480152	-0.342337988318763	-0.496492655698727	-0.509616026381679	Macs	2
GPBAR1	-0.592254869515272	2.23885752081807	-0.192886974799192	-0.283495346554028	-0.197340000678523	-0.42734265606814	-0.545537673202919	Macs	2
ARHGEF3	-0.57550136498149	2.22124106663893	-0.17281560541318	-0.195536014905745	-0.317330576991167	-0.709411440340471	-0.250646064006882	Macs	2
FFAR2	-0.506941553730503	2.24726476174933	-0.283523124602191	-0.280709802285001	-0.211257625814542	-0.373910139885553	-0.590922515431537	Macs	2
OAS2	-0.399630906767412	2.26622410269491	-0.343589900063113	-0.311080810721289	-0.408164167862504	-0.395304195873185	-0.408454121407403	Macs	2
IFIT2	-0.386369511206343	2.26729321465945	-0.373283893326843	-0.333844986723027	-0.394212159891239	-0.393595787149337	-0.385986876362662	Macs	2
AXL	-0.408730755045782	2.26550175948847	-0.384352176098333	-0.282156767309056	-0.408730755045782	-0.372800550943732	-0.408730755045782	Macs	2
MRPL17	-0.506133392514563	2.26115319500146	-0.307396989644094	-0.266721088968966	-0.412399789874064	-0.386593103255074	-0.381908830744699	Macs	2
GMPR	-0.304932160486054	2.26613301508905	-0.406725564378397	-0.348908507590241	-0.398408216869677	-0.406140691091257	-0.401017874673423	Macs	2
ATP10A	-0.414153333404611	2.26652221952467	-0.368504676405594	-0.315797853108699	-0.384528084213272	-0.369384938987882	-0.414153333404611	Macs	2
RABGAP1L	-0.327271556248948	2.26577468446137	-0.33146941169622	-0.381684827584276	-0.39902580806785	-0.45174014031302	-0.374582940551054	Macs	2
ISG20	-0.415012734988245	2.26655047369151	-0.406265330225578	-0.359907480994864	-0.376733764607783	-0.392532558637645	-0.316098604237397	Macs	2
APOBEC3A	-0.371471694546431	2.26760558796648	-0.385718961665636	-0.353018582173137	-0.384408523008479	-0.381623684872303	-0.391364141700495	Macs	2
CNP	-0.414082690721556	2.26282482744278	-0.305970558617724	-0.314786217713401	-0.317106393288025	-0.460144211575126	-0.450734755526954	Macs	2
ISG15	-0.368528228201135	2.26770447088774	-0.372201328522163	-0.371892722560793	-0.385140167464923	-0.377000979917336	-0.392941044221392	Macs	2
