gene	Buffer_scaled	IFN_B1a_scaled	IFN_lambda2_scaled	IFN_y_scaled	IL_10_scaled	IL_13_scaled	IL_4_scaled	cellType	cluster
APOL6	-0.565104108550727	2.08193368503332	-0.536440354694862	0.538072769477662	-0.50105835144717	-0.521038016882089	-0.496365622936136	PMNs	1
STAT1	-0.54816739626708	1.97749749354246	-0.529072889710874	0.763716379917442	-0.515514416213049	-0.55689479745356	-0.591564373815336	PMNs	1
SERPING1	-0.515568403205732	2.08809595341781	-0.531622056157599	0.52413937477508	-0.531276432213219	-0.524204684682802	-0.509563751933543	PMNs	1
IDO1	-0.606076919359421	1.86900098827575	-0.523742981714553	0.952229132209343	-0.509836600986267	-0.606076919359421	-0.575496699065434	PMNs	1
RHBDF2	-0.591651554777873	1.8515220292781	-0.434530071119735	0.954787989966041	-0.385233136747991	-0.69012757888472	-0.704767677713823	PMNs	1
TAP1	-0.619542355476733	1.77366998215476	-0.571586412130089	1.08334755275686	-0.710558412195755	-0.543573510634987	-0.411756844474061	PMNs	1
GBP4	-0.566546917647043	1.82688042714956	-0.540080533613655	1.01989619931157	-0.574029165554168	-0.593779927592799	-0.572340082053461	PMNs	1
ETV7	-0.566123172299178	1.73512109595379	-0.569528740653647	1.15033073580538	-0.565578837976604	-0.582990729967057	-0.601230350862685	PMNs	1
SECTM1	-0.632326912899572	1.48022982667471	-0.600870786922494	1.44389943358072	-0.481555142074598	-0.604834964511772	-0.604541453846993	PMNs	1
MTVR2	-0.836605699486422	1.62715559681371	-1.32260216169131	0.916844742230192	-0.0444041040010162	-0.206738412848448	-0.133649961016707	PMNs	1
MSRB2	-0.735591601229674	1.66287823824718	-0.430181920141013	1.21890051874246	-0.486784189830524	-0.738131704850826	-0.491089340937601	PMNs	1
PSMB9	-0.595234786056249	1.89388124260485	-0.527508350352849	0.8992193311697	-0.710656177820788	-0.536874599627739	-0.422826659916928	PMNs	1
BATF2	-0.594967384825741	1.57981324417586	-0.566885525653181	1.34061830582952	-0.607193863193709	-0.581144191278764	-0.570240585053986	PMNs	1
CD69	-0.54620213854678	1.52183610405558	-0.678207077216136	1.37781967538152	-0.798254624708405	-0.491213719868882	-0.3857782190969	PMNs	1
