GeneSymbol	Macs_IFN_B1a Macs_IFN_y	Macs_IL_10	Macs_IL_4 Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a Monos_IFN_y	Monos_IL_10	Monos_IL_4 Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a PMNs_IFN_y	PMNs_IL_4 PMNs_IL_13	Condition
FANCA	5.666666667	3.333333333	1.833333333	2	4.333333333	3	0.666666667	0.333333333	0.5	16.33333333	10.5	0.833333333	PMNs_IFN_B1a
TREX1	22.33333333	15.66666667	12.66666667	21.66666667	27	26.66666667	37.5	8	9.333333333	134	72.66666667	2.666666667	PMNs_IFN_B1a
FCGR1A	11.66666667	31.66666667	3.833333333	0	2	0.333333333	3.833333333	7.666666667	1.666666667	9.666666667	47.5	5.333333333	PMNs_IFN_B1a_PMNs_IFN_y
FCGR1B	9.333333333	21.33333333	2.833333333	0	0.833333333	0	2.333333333	2	1.333333333	10.33333333	25.83333333	5.333333333	PMNs_IFN_B1a_PMNs_IFN_y
P2RY14	0.833333333	0	0	4	8.833333333	1	0.5	0.666666667	0.166666667	13.33333333	62	5	PMNs_IFN_B1a_PMNs_IFN_y
BATF2	75.5	3	3	94.33333333	77.33333333	6.333333333	20.16666667	1.333333333	1.166666667	141	181	3.666666667	PMNs_IFN_B1a_PMNs_IFN_y
CD69	3.5	0	0.166666667	1.333333333	0.666666667	0	4.833333333	1.333333333	2.666666667	57.66666667	75.83333333	15.66666667	PMNs_IFN_B1a_PMNs_IFN_y
ETV7	78.33333333	0.666666667	0.333333333	70.66666667	57.16666667	1.333333333	33	0.666666667	0.333333333	122.6666667	137	1.833333333	PMNs_IFN_B1a_PMNs_IFN_y
FFAR2	12.83333333	9	1.833333333	6	4.833333333	4.666666667	46	32	19.33333333	658	558.1666667	217.6666667	PMNs_IFN_B1a_PMNs_IFN_y
GBP5	188.8333333	2.666666667	2.333333333	79.66666667	188.3333333	2	311	31.66666667	19.16666667	352	569.8333333	56.33333333	PMNs_IFN_B1a_PMNs_IFN_y
