Macs_IFN_B1a_Macs_IFN_y	Macs_IL_10	Macs_IL_4_Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a_DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a_Monos_IFN_y	Monos_IL_10	Monos_IL_4_Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a_PMNs_IFN_y	PMNs_IL_4_PMNs_IL_13	P.value	Correlation	RMSE	sample
0	0.142473201885481	0.0658732216716416	0	0.0584516007325912	0.107138566251116	0.0386941326359951	0	0	0.232430134076868	0.343685468310916	0.0112536744353912	0	0.638796050103373	0.772796737816482	X629
0	0.0295298188450036	0	0	0.512062747209436	0	0.0123375808831669	0	0	0	0.446069853062393	0	0	0.681659503391686	0.730570634276011	X634
0	0.0760572600564903	0.0331268129742395	0	0.21035585166041	0.0793467112491159	0	0	0	0.204228230137591	0.346909264530081	0.0499758693920722	0	0.719263494515467	0.693234872598067	X637
0	0.0363595349016972	0.0456952148864999	0	0.427019184768862	0	0.0979868995931238	0	0	0	0.366083361585267	0.0268558042645507	0	0.652024288707175	0.755770131926113	X295
0	0.232262989843083	0.0651435409571976	0	0	0.086895799728263	0	0	0	0.464838362083669	0.105013792235966	0.0458455151518216	0	0.633902272804128	0.777973999186667	X591
0	0.156924727969713	0.0530142748488401	0	0.132581014164037	0.0019563439315005	0.0304373648279001	0	0	0.224052360394389	0.297072188478777	0.103961725384844	0	0.690341364932103	0.722186542395705	X593
0	0.183786034539777	0.0224253913311303	0	0.336761360262007	0	0.0527131277333713	0	0	0.0517108232960903	0.352603262837624	0	0	0.556425009249673	0.853960040906676	X624
0	0.0774609173700497	0	0	0.480686694619867	0	0.0793193710073887	0.0426455763546563	0	0	0.24074074017523	0.0791467004728076	0.01	0.445305595553329	0.908922610579864	X611
0	0.0874314323974802	0.0872409605100829	0	0.263029538706801	0.0835360572783741	0	0	0	0.204975603042996	0.273786408064265	0	0	0.612617336633666	0.79035675158733	X577
0	0.0817618893891152	0.0481860756205666	0	0	0.204140940352595	0	0	0	0.285386219667844	0.38052487496988	0	0	0.718810451800975	0.693556321089825	X483
0	0.0563413532350458	0.0494463779842631	0	0.19033969391379	0.0662268410640589	0	0	0	0	0.637645733802843	0	0	0.82103322941621	0.571752132252226	X478
0	0.0859894697969781	0.0643649709987958	0	0.0540604060189804	0.167231615266135	0	0	0	0.186221567856954	0.442131970062157	0	0	0.722057302179629	0.690657606917694	X632
0	0.0467402501873158	0.0435355897007118	0	0.382932523153509	0	0.120017772398864	0	0	0	0.375587218755909	0.0311866458036904	0	0.672998146909431	0.737353367771121	X284
0	0.088955122166329	0.102136193735876	0	0.328877676819915	0.0805227782876643	0	0	0	0	0.399508228990216	0	0	0.623481366920717	0.783225890816507	X562
0	0.189925027732526	0.0762246073175238	0	0.214416285515061	0	0	0	0	0.51943407943489	0	0	0	0.584950397804059	0.81819262786791	X320
0	0.0243401301559604	0.0458338224247358	0	0.0746010681080873	0.276942226627955	0	0	0	0.10946175353481	0.468820999148452	0	0	0.755773407445113	0.655592649940989	X368
0	0.0453721199186546	0.0315545668665599	0	0.348127316060797	0.0512348244933343	0.0160895274114013	0	0	0	0.507621645249253	0	0	0.794487136566366	0.60924388693914	X361
0	0.105338569535617	0.0370830456966178	0	0.2821602170383	0.0989690187282344	0.055186302325377	0	0	0.0213464533893372	0.280657281607202	0.119259111679315	0	0.559969596958239	0.828005508035	X363
0	0.0348190959028784	0.033786413132667	0	0	0.2426902239442	0	0	0	0.231853683178924	0.45685058384133	0	0	0.842465554850294	0.547807411377637	X335
0.0107535936941356	0	0.0391045841452318	0	0	0.264541944358774	0	0	0	0.448991202887337	0.236608674914522	0	0	0.878824864754328	0.516289895147523	X341
0	0.0649301187516	0.0871816647629408	0	0.19814275712095	0.14870537676861	0.032696267304264	0	0	0	0.468343815291634	0	0	0.65819283022238	0.751841272401213	X365
