B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Correlation	RMSE	sample
0	0.0394604652556484	0.294975921433006	0.124702275687626	0.0121861533257841	0	0.111121097078837	0.0343907825897271	0	0	0.0183098042808859	0.00366090142617712	0	0.00178390290772123	0.0440089104760086	0.0598261406614175	0	0	0.195137236955139	0	0	0.0604364079220227	0.47	0.0225251627257121	1.04717417096583	GSM1356747
0.177563623498535	0	0	0	0.193692509908912	0.0178396992090569	0	0.121107543680946	0.0716895945652716	0	0	0.039493986245632	0	0.11786248707969	0	0	0	0.242860476377817	0	0.0178900794341394	0	0	0.53	0.0124241848650012	1.11184305409918	GSM1356748
0	0	0.0133587856272896	0	0.0545741096295043	0.283208585482631	0	0.108583219257216	0	0	0.0212223825585303	0.0113292180139197	0	0.0788682256359625	0	0	0	0.00999342878091916	0	0.375782225901816	0.043079819112211	0	0.89	-0.0258320833114658	1.15342795052907	GSM1356749
0	0.0815066009442381	0.417632354660305	0	0	0.0873942274843795	0.0289662288594334	0	0.00686311397919007	0.0202779635648689	0	0.00722153893783332	0.0553904654676402	0	0.0349317255883341	0.0351732995319509	0.0659222974195539	0	0.142462836458253	0	0	0.0162573471040195	0.72	-0.0108125455871578	1.04838974556315	GSM1356750
0.0926621536087324	0	0.0343669059265996	0	0	0.17051383727439	0.0591192872854603	0.0375452387576012	0.0138085628355545	0.151353396373061	0	0	0	0	0	0	0	0.0797350871163048	0	0.288284361016482	0.0726111698058156	0	0.58	0.0046711146158525	1.10285995003148	GSM1356751
0.0914352009863804	0	0	0.021696561302274	0.0309597333760349	0	0	0.0825900758630047	0	0.0292621591296315	0.0355086305195549	0.0202934748219772	0	0	0	0	0.0100649659595499	0.135114710062603	0	0.415475019564499	0.12759946841449	0	0.18	0.061663071655222	1.10975623129936	GSM1356752
0	0.00339534526925463	0.1339175810164	0	0.153930685102	0.102143171018151	0	0.0208300264651856	0.1206261136581	0	0.0277650422707632	0.0447344452286898	0.0143296945618056	0	0	0	0.0807067563570095	0.000314414195278594	0.297306724857363	0	0	0	0	0.37276416145903	0.931086387385682	GSM1356753
0	0.0922728175668427	0	0	0.0120703286988993	0.12044749393406	0	0	0.101441237941128	0	0.322466688383546	0	0	0.0353828106050375	0	0	0	0	0	0.284452046807016	0	0.0314665760634704	0.59	0.00319514908112057	1.15652661941421	GSM1356754
0.11768936980245	0	0.193501418904761	0.223996958474931	0	0	0.00208174960966186	0.0986139562166534	0	0	0	0.0977735851485388	0.00795985121371227	0.0353750872703654	0	0.0199093387705663	0.00805319781994668	0	0.172520207298183	0	0	0.0225252794702304	0.52	0.0156253325589477	1.07762127074585	GSM1356755
0.0822357373523728	0	0.158818805151987	0	0.000400824237260541	0	0.110955602946736	0.0349330759488807	0	0.14190823771595	0	0	0	0.166004213202953	0	0	0	0	0	0.215862835920706	0.0718342945960953	0.0170463729270593	0.66	-0.0034317281534867	1.08435587600302	GSM1356756
0	0.0712438087183309	0.352170753180633	0	0	0.0132702491537498	0	0	0	0	0.0123006865746949	0.00177726261380858	0.185307277509904	0	0.0672347883774293	0.0579353753866041	0.0371649432531005	0	0.0861730267080325	0	0	0.115421828523713	0.04	0.128435722392528	1.02601744433346	GSM1356757
0	0.116236860262442	0	0	0	0	0	0.0312773486091635	0.00892483027571506	0	0.0772657767728552	0	0.12549767191204	0.17990490276653	0.0372664812634737	0.0357208260191559	0.170041663632092	0	0.167702772720084	0	0	0.0501608657664479	0.53	0.0117322266812222	1.08813020757149	GSM1356758
0.123391015192076	0	0	0	0	0.104333678139311	0	0.0658693970896379	0	0.0193845247394067	0	0.0323199536774891	0	0	0.0726395051953372	0	0.0400303340273226	0.0505024630032803	0	0.396191370946818	0.0748012734827533	0.0205364845065683	0.09	0.0935033461687937	1.08503867533885	GSM1356759
0	0.136178986972697	0.144416846138949	0.0944018876521081	0	0.0561315774484093	0.0481402915863072	0.0362161205763362	0.0360833331774043	0.0437498805661014	0	0.00694610105340685	0	0.121978644552813	0	0.0463732827648453	0.0105752031346668	0.106801359006943	0.0402459995657821	0	0.000606164138796713	0.0711543216644343	0.89	-0.0259490199292617	1.07468487793471	GSM1356760
0.113448124303888	0	0.37664903013015	0	0	0.00277412168521689	0	0	0.0910469738594697	0	0.035208715475018	0.0303960179978818	0.0615141717100598	0	0.0224619772108491	0.0370280190800295	0.0973990903870429	0	0.128017742392607	0	0	0.0040560157677867	0.96	-0.0398049323139299	1.05991793169594	GSM1356761
0.144172359979079	0	0.341267491810508	0	0.110412978182393	0	0	0	0.0346026873046185	0	0.0756326742699125	0	0	0.0949266088690161	0	0.0395356729690229	0	0.0315422326834046	0.0906134965700143	0	0	0.0372937973620318	0.36	0.0327674868158904	1.04304076250605	GSM1356762
