CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell	P.value	Correlation	RMSE	sample
0.295587478322768	0.083881185104573	0.16617842491815	0.0842676913371583	0	0.0847185842339917	0.00547554397515852	0.00254036111963229	0	0	0	0	0.00922813993610496	0.0127184094922709	0	0	0.0499779278635998	0.200534154653961	0	0.00489209904263142	0	0.720564513575372	0.70225158821747	S102_week_24
0.247035004386894	0.106746664582753	0.189239501597393	0.117103263368605	0	0.0987267266325827	0	0.0133854906841005	0	0	0	0	0.0195381991130848	0.0135769171841332	0	0	0.0377365915147154	0.155195005044653	0.00171663589108705	0	0	0.673646803605824	0.742141014817974	S102_week_4
0.276746644461944	0.0764410039225702	0.236864758194822	0.0669599946475562	0	0.042908920351842	0.00662033621142777	0.00400273031783177	0	0	0	0	0.00939318001014335	0.0115450401268262	0	0	0.0419839149030949	0.226533476851941	0	0	0	0.647178802485147	0.763576144665103	S103_day_7
0.332634718672346	0.0978329448734771	0.165413483888652	0.079031184529252	0	0.0295376051735339	0	0.00817521337585182	0	0	0	0	0.0129570501650923	0.0175308516611145	0	0	0.0356865101801504	0.217716205298587	0.00348423218194345	0	0	0.68219791948829	0.731276305084772	S103_DX
0.308219629748315	0.0501933678790079	0.281456657430476	0.0678179772337167	0	0.0401056167406079	0.00710334140928918	0.00199920764029896	0	0	0	0	0.00497936936636088	0.00680632998816998	0.0109706815247941	0	0.0416236745568204	0.178724146482143	0	0	0	0.710562474183526	0.716089565845152	S103_week_24
0.253433544096448	0.0734180924592819	0.22319670323143	0.0969484929145154	0	0.0340107201791167	0	0.00612478112216917	0.0091954841304779	0	0	0	0.0189999089209291	0.00972293756698066	0	0	0.0255829473090457	0.244601512944139	0.00476487512546579	0	0	0.644492454805008	0.766754228282656	S103_week_4
0.195033950678004	0.094605154973467	0.256087832713319	0.127010866080889	0	0.0498176299407995	0	0.00163793393187929	0.00439076702347924	0	0	0	0.00647459293859847	0.0202618680614294	0	0	0.0366917101746029	0.207987693483532	0	0	0	0.632901982152412	0.777992580341716	S104_day_7
0.239876334026948	0.0632878280069459	0.215132346074164	0.100234241246212	0	0.0259163029486652	0.0033537489122358	0.000377936452051626	0	0	0	0	0.0183812797705293	0.0202370971057649	0	0	0.030850073110368	0.281001488499739	0.00135132384637666	0	0	0.632533207525505	0.776593674331224	S104_DX
0.189216734990921	0.128527077857255	0.206888534639502	0.118312215952917	0	0.0580163054313557	0.00375089406275663	0	0.0152245569042324	0	0	0	0.00383811825843367	0.0122303321273936	0	0	0.0766112937017056	0.187383936073527	0	0	0	0.681881270573093	0.739016564487363	S104_week_24
0.203981138723006	0.152900954157503	0.216281503776956	0.0851614199147778	0	0.0512822267220644	0	0.000952458000456033	0.00381670986973072	0	0	0	0.0044915334494323	0.0203954612143011	0	0	0.0500716481729353	0.210664945998837	0	0	0	0.647069616208432	0.762274788237298	S104_week_4
0.126755391751459	0.076397954324088	0.310500770281301	0.0771808266298669	0	0.0649843898576899	0.00115550775612945	0.00321331367810102	0	0	0	0	0.00522422336774765	0.0147815292672809	0	0	0.0895126061561865	0.230293486930151	0	0	0	0.586562264230089	0.813614896835279	S105_day_7
0.158600745513236	0.0853126345975686	0.247458574607339	0.0777740610442566	0	0.0686312711253445	0	0.00495608325747138	0	0	0	0	0.00828724545138856	0.0306732815093212	0	0	0.0830168636279089	0.235289239266165	0	0	0	0.583520048871573	0.81279530150841	S105_DX
